Assettype Quantity,Associatedgsp,Bulk supply point,Connectivity Voltage(kv),Constraint description,Constraint occurrence year,Constraint season,Current status,Customers served,Dnoa result,Dnoa result description,Dnoa result history 2023,Dnoa result history 2024,Dnoa result history 2025,Deviation,Deviation Percentage,ECR < 1MVA Accepted to connect,ECR < 1MVA Already connected,ECR > 1MVA Accepted to connect,ECR > 1MVA Already connected,Expectedcompletionyear,Expectedstartyear,Firm Capacity,Flexibility procurement 2024/25,Flexibility procurement 2025/26,Flexibility procurement 2026/27,Flexibility procurement 2027/28,Flexibility procurement 2028/29,Generation Capacity,Generation Headroom Mw,Grid supply point,Justification,Ltdsname,Site,Spare Summer,Spare Winter,Substation title,Substation Or Circuit,Total gen <1 (mw),Total gen >1 (mw),Total Ecr Capacity,Traditional solution,Transformer 1 Summer,Transformer 1 Winter,Transformer 2 Summer,Transformer 2 Winter,Transformer 3 Summer,Transformer 3 Winter,Transformer 4 Summer,Transformer 4 Winter,Transformer 5 Summer,Transformer 5 Winter,Transformer 6 Summer,Transformer 6 Winter,Transformer 7 Summer,Transformer 7 Winter,Transformer 8 Summer,Transformer 8 Winter,Type,Assessment Date,Asset Export Limit,Asset Import Limit,Calculated Resistance,County,Date Commissioned,Easting,Grid Reference,Installed Capacity MVA,Last Report,Licence Area,Local Authority,Local Authority Code,Max Demand Summer,Max Demand Winter,Maximum Observed Power Flow,Measured Resistance (Ohm),Minimum Observed Power Flow,Next Assessment Date,Northing,Postcode,Power Transformer Count,Reverse Power,Site Classification,Site Functional Location,Site Name,Site Type,Site Voltage,Spatial Coordinates,Street,Suburb,Technical Limit Export,Technical Limit Import Access Period,Technical Limit Import Summer,Technical Limit Import Winter,Town City,Transformer Rating Summer,Transformer Rating Winter,What3Words
,,Bishops Stortford Grid 33kV,,,,,,,,,,,,Yes,60.17699115044248,0.192,0.19104,0.0,1.8,,,9.6,,,,,,5.0,2.81696,Pelham,,,,4.61,4.8,,,0.38304,1.8,2.18304,,10.0,13.0,10.0,13.0,,,,,,,,,,,,,,2011-12-02,240.0,240.0,NA,Hertfordshire,1961-04-01,542470,TL42471977,4.52,P-11-1369,Eastern Power Networks (EPN),East Hertfordshire,E07000242,5.2,8,168.02,0.16,10.54,2040-11-22,219770,SG10 6HH,2,<100%,HOT,EPN-S0000000H7075,MUCH HADHAM PRIMARY 33/11kV,Primary Substation,33,"51.8583361904226, 0.0674091626160273",\N,\N,347.0,285.0,238.8,297.9,MUCH HADHAM,"10, 10","13, 13",learn.burst.maker
,,South Benfleet Grid 33kV,,,,,,,,,,,,Yes,5.213270142180089,0.192,0.0,0.0,2.0,,,28.8,,,,,,30.0,27.808,Tilbury,,,,20.74,29.66,,,0.192,2.0,2.192,,30.0,40.0,30.0,40.0,,,,,,,,,,,,,,2023-05-25,0.0,0.0,0.08Ω 0.00Deg,Essex,2004-04-01,577925,TQ7792586106,2.11,ELP09356013,Eastern Power Networks (EPN),Castle Point,E07000069,8.4,9.1,0.0,0.08,0.0,2039-11-26,186106,SS7 5LP,2,100%,COLD,EPN-S0000000H7078,SOUTH BENFLEET PRIMARY 33/11KV,Primary Substation,33,"51.545796154387, 0.564586889590234",\N,\N,71.0,48.3,40.1,53.9,BENFLEET,"30, 30","40, 40",sports.forces.composers
,,Luton South Grid 33kV,,,,,,,,,,,,No,0.0,0.0,0.096,0.0,0.0,,,14.4,,,,,,7.5,7.404,Sundon,,,,4.32,-1.34,,,0.096,0.0,0.096,,15.0,18.0,15.0,18.0,,,,,,,,,,,,,,2020-10-12,0.0,0.0,0.13Ω 0.00Deg,Hertfordshire,1956-04-01,513510,TL1351014408,0.0,ELP03607016-R01,Eastern Power Networks (EPN),St Albans,E07000240,10.5,19.4,26.72,0.14,0.0,2036-11-26,214408,AL5 4EW,2,<100%,COLD,EPN-S0000000H7088,CENTRAL HARPENDEN PRI 33/11kV,Primary Substation,33,"51.8167829295879, -0.354666772323446",\N,\N,0.0,0.0,0.0,0.0,HARPENDEN SOUTH,"15, 15","18, 18",target.sling.class
,,Tottenham Grid 33kV,,,,,,,,,,,,No,0.0,0.0,0.0672,0.0,0.0,,,86.4,,,,,,90.0,89.9328,Tottenham,,,,30.62,28.51,,,0.0672,0.0,0.0672,,90.0,108.0,90.0,108.0,,,,,,,,,,,,,,2018-09-19,420.0,660.0,NA,Greater London,1965-04-01,533340,TQ33348893,0.0,ELP0061022-R01,Eastern Power Networks (EPN),Haringey,E09000014,"42.4, 15.7","56.8, 21.5",290.88,0.03,78.8,2034-11-26,188930,N15 5DA,2,100%,COLD,EPN-S0000000H7089,CENTRAL TOTTENHAM PRI 33/11kV,Primary Substation,33,"51.5834614195586, -0.0768794953922602",\N,\N,0.0,0.0,0.0,0.0,TOTTENHAM N15,"90, 90, 23, 23","108, 108, 30, 30",deed.goes.putty
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,10.56,,,,,,5.5,5.5,,,,,6.82,9.7,,,0.0,0.0,0.0,,11.0,15.0,11.0,15.0,,,,,,,,,,,,,,2019-03-14,0.0,0.0,0.33Ω 0.00Deg,Oxfordshire,1967-04-01,475446,SP7544600218,0.0,ELP02011003-R01,Eastern Power Networks (EPN),South Oxfordshire,E07000179,3.9,4.9,0.0,0.15,0.0,2035-11-26,200218,OX39 4HP,2,<100%,COLD,EPN-S0000000H7091,CHINNOR PRIMARY 33/11kV,Primary Substation,33,"51.6956502858373, -0.909817098106212",\N,\N,0.0,0.0,0.0,0.0,CHINNOR,"11, 11","15, 15",occur.starred.version
,,Basildon Grid 33kV,,,,,,,,,,,,No,0.0,0.0,0.096,0.0,0.0,,,16.32,,,,,,8.5,8.404,Tilbury 1&7,,,,5.57,7.2,,,0.096,0.0,0.096,,17.0,23.0,17.0,23.0,,,,,,,,,,,,,,2023-07-18,0.0,0.0,0.21Ω 0.00Deg,Essex,1958-04-01,567638,TQ6763888404,0.0,ELP09356030-R01,Eastern Power Networks (EPN),Basildon,E07000066,11.2,15.5,0.0,0.03,0.0,2039-11-26,188404,SS15 6PH,2,<100%,COLD,EPN-S0000000H7094,DURHAM RD PRIMARY,Primary Substation,33,"51.5695871040679, 0.417471948768122",DURHAM ROAD,LAINDON,0.0,0.0,0.0,0.0,BASILDON,"17, 17","23, 23",porch.noted.edge
,,Nevendon Grid 33kV,,,,,,,,,,,,No,0.0,1.008,0.8218944,0.0,0.0,,,24.0,,,,,,12.5,10.6701056,Rayleigh,,,,14.59,18.72,,,1.8298944000000001,0.0,1.8298944000000001,,25.0,30.0,25.0,30.0,,,,,,,,,,,,,,2020-10-09,366.0,720.0,0.24Ω 0.00Deg,Essex,1964-04-01,572101,TQ7210190636,0.0,ELP03607022-R01,Eastern Power Networks (EPN),Basildon,E07000066,9.8,10.5,408.2,0.06,126.8,2036-11-26,190636,SS14 3AP,2,<100%,COLD,EPN-S0000000H7096,GARDINERS LN PRIMARY 33/11KV,Primary Substation,33,"51.5882935227615, 0.482897728873305",\N,\N,365.5,617.1,524.7,643.0,BASILDON NORTH,"25, 25","30, 30",reward.soil.healthier
,,Basildon Grid 33kV,,,,,,,,,,,,No,5.0,0.0,0.0,0.0,9.5,,,17.28,,,,,,18.0,8.5,Tilbury,,,,11.23,14.02,,,0.0,9.5,9.5,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2023-08-05,0.0,0.0,0.08Ω 0.00Deg,Essex,2009-04-01,565841,TQ6584187906,10.0,ELP09356033,Eastern Power Networks (EPN),Thurrock,E06000034,6.3,9.4,0.0,0.04,0.0,2039-11-26,187906,RM14 3TD,2,100%,COLD,EPN-S0000000H7100,LANGDON PRIMARY 33/11KV,Primary Substation,33,"51.5656442751686, 0.391332461295263",LOWER DUNTON RD,LANGDON,71.0,48.3,40.1,53.9,BASILDON,"18, 18","24, 24",varieties.beans.frost
,,Brimsdown North Grid 33kV,,,,,,,,,,,,No,0.0,0.0,0.048,0.0,0.0,,,14.4,,,,,,15.0,14.952,Brimsdown (EPN),,,,7.97,9.41,,,0.048,0.0,0.048,,15.0,20.0,15.0,20.0,,,,,,,,,,,,,,2021-03-12,720.0,720.0,0.94Ω 0.00Deg,Greater London,1963-04-01,538738,TQ3873894452,0.0,ELP05282008-R01,Eastern Power Networks (EPN),Waltham Forest,E09000031,6.7,10.2,204.9,0.02,71.22,2037-11-26,194452,E4 7BE,2,100%,COLD,EPN-S0000000H7103,NORTH CHINGFORD PRIMARY 33/11kV,Primary Substation,33,"51.6317792481935, 0.00316351237424025",\N,\N,-69.8,190.5,147.1,206.6,CHINGFORD,"15, 15","20, 20",fall.slices.crisis
,,Bishops Stortford Grid 33kV,,,,,,,,,,,,No,0.0,0.192,0.0,0.0,0.0,,,16.32,,,,,,8.5,8.308,Pelham and Wymondley,,,,7.78,10.27,,,0.192,0.0,0.192,,17.0,23.0,17.0,23.0,,,,,,,,,,,,,,2022-09-27,0.0,0.0,1.10Ω 0.00Deg,Hertfordshire,1972-04-01,549446,TL4944622675,0.0,ELP07260035-R01,Eastern Power Networks (EPN),East Hertfordshire,E07000242,8.9,12.3,0.0,0.27,0.0,2038-11-26,222675,CM23 2DG,2,<100%,COLD,EPN-S0000000H7110,HANGER LEA PRIMARY 33/11kV,Primary Substation,33,"51.8826131700358, 0.169887616403001",\N,\N,0.0,0.0,0.0,0.0,BISHOPS STORTFORD,"17, 17","23, 23",automatic.annual.posting
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,19.2,,,,,,20.0,20.0,,,,,8.35,10.75,,,0.0,0.0,0.0,,20.0,26.0,20.0,26.0,,,,,,,,,,,,,,2018-07-26,0.0,0.0,0.64Ω 0.00Deg,Greater London,1956-04-01,531580,TQ31588955,0.0,ELP0061016-R01,Eastern Power Networks (EPN),Haringey,E09000014,11.3,14.8,0.0,0.05,0.0,2034-11-26,189550,N15 3DY,2,100%,COLD,EPN-S0000000H7119,WEST GREEN PRIMARY 33/11kV,Primary Substation,33,"51.5894462682209, -0.102034553788448",\N,\N,0.0,0.0,0.0,0.0,TOTTENHAM N15,"20, 20","26, 26",sung.aspect.idea
,,Stevenage Grid 33kV,,,,,,,,,,,,Yes,5.357142857142862,0.0,0.0,0.0,1.06,,,7.68,,,,,,5.5,4.4399999999999995,Wymondley,,,,1.06,0.48,,,0.0,1.06,1.06,,11.0,15.0,8.0,10.0,,,,,,,,,,,,,,2016-08-09,480.0,240.0,0.54Ω 0.00Deg,Hertfordshire,1956-04-01,535740,TL35742650,1.12,ESL1519020-R01 RA,Eastern Power Networks (EPN),East Hertfordshire,E07000242,6.9,9.5,193.0,0.3,-28.35,2026-11-26,226500,SG9 9NW,2,<100%,HOT,EPN-S0000000H7123,CHERRY GRN PRIMARY 33/11kV,Primary Substation,33,"51.920484920332, -0.027607509225887",\N,\N,191.0,225.2,180.0,239.5,WESTMILL,"11, 8","15, 10",ledge.coins.president
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,14.4,,,,,,15.0,15.0,,,,,5.18,4.8,,,0.0,0.0,0.0,,15.0,18.0,15.0,18.0,,,,,,,,,,,,,,2018-05-31,0.0,0.0,41.30Ω 0.00Deg,Greater London,1959-04-01,533470,TQ33479446,0.0,ELP0061003-R01,Eastern Power Networks (EPN),Enfield,E09000010,9.6,13,0.0,0.13,0.0,2034-11-26,194460,N9 9LD,2,100%,COLD,EPN-S0000000H7140,BURY ST PRIMARY 33/11kV,Primary Substation,33,"51.63312443289, -0.0729010312776826",\N,\N,0.0,0.0,0.0,0.0,EDMONTON N9,"15, 15","18, 18",wrong.eating.weeks
,,Nevendon Grid 33kV,,,,,,,,,,,,No,4.761904761904765,0.2112,0.048,0.0,1.2,,,17.28,,,,,,9.0,7.5408,Rayleigh,,,,7.2,8.26,,,0.2592,1.2,1.4592,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2020-11-27,366.0,720.0,0.25Ω 0.00Deg,Essex,1977-04-01,573446,TQ7344689265,1.26,ELP03607034-R01,Eastern Power Networks (EPN),Basildon,E07000066,10.5,15.4,408.2,0.04,126.8,2036-11-26,189265,SS13 1NH,2,<100%,COLD,EPN-S0000000H7141,CHALVEDON PRIMARY 33/11KV,Primary Substation,33,"51.5755660966243, 0.501616411570561",PARK SIDE,\N,365.5,617.1,524.7,643.0,BASILDON,"18, 18","24, 24",miles.shall.will
,,Tilbury Compact Grid 33kV,,,,,,,,,,,,No,0.0,0.288,0.048,0.0,0.0,,,16.32,,,,,,9.0,8.664,Tilbury 1&7,,,,8.06,10.18,,,0.33599999999999997,0.0,0.33599999999999997,,18.0,24.0,17.0,23.0,,,,,,,,,,,,,,2023-06-21,0.0,0.0,1.05Ω 0.00Deg,Essex,1972-04-01,564230,TQ6423078112,0.0,ELP09356020,Eastern Power Networks (EPN),Thurrock,E06000034,8.6,12.4,0.0,0.12,0.0,2039-11-26,178112,RM16 4LU,2,"100%,  <100%",COLD,EPN-S0000000H7154,MARSHFOOT ROAD PRIMARY 33/11KV,Primary Substation,33,"51.4781284134045, 0.36354945103787",\N,\N,0.0,0.0,0.0,0.0,TILBURY,"18, 17","24, 23",vest.shakes.salads
,,Hornsey Grid 33kV,,,,,,,,,,,,No,0.0,0.192,0.048,0.0,0.0,,,27.84,,,,,,14.5,14.26,Tottenham,,,,14.5,18.34,,,0.24,0.0,0.24,,29.0,38.0,29.0,38.0,,,,,,,,,,,,,,2018-07-25,420.0,660.0,0.38Ω 0.00Deg,Greater London,1969-04-01,530822,TQ3082290501,0.0,ELP0061015-R01,Eastern Power Networks (EPN),Haringey,E09000014,13.9,18.9,290.88,0.07,78.8,2034-11-26,190501,N22 8HR,2,<100%,COLD,EPN-S0000000H7160,WATSONS RD PRIMARY 33/11kV,Primary Substation,33,"51.5981687089704, -0.112615667177853",\N,\N,0.0,0.0,0.0,0.0,WOOD GREEN,"29, 29","38, 38",share.watch.costs
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,11.52,,,,,,12.0,12.0,,,,,8.54,10.85,,,0.0,0.0,0.0,,12.0,15.0,12.0,15.0,,,,,,,,,,,,,,2019-04-11,0.0,0.0,0.15Ω 0.00Deg,Buckinghamshire,2012-04-01,479671,SP7967114190,0.0,ELP02011004-R01,Eastern Power Networks (EPN),Buckinghamshire,E06000060,3.1,3.7,0.0,0.06,0.0,2035-11-26,214190,HP19 8DS,2,100%,COLD,EPN-S0000000H8009,COLDHARBOUR FARM PRIMARY 33/11kV,Primary Substation,33,"51.8206650956025, -0.845502959741273",\N,FAIRFORD LEYS,0.0,0.0,0.0,0.0,AYLESBURY,"12, 12","15, 15",appear.body.extra
,,Stevenage Grid 33kV,,,,,,,,,,,,No,0.0,1.06176,0.9249888000000002,0.0,0.0,,,16.32,,,,,,8.5,6.5132512,Pelham and Wymondley,,,,5.95,9.02,,,1.9867488000000002,0.0,1.9867488000000002,,17.0,23.0,17.0,23.0,,,,,,,,,,,,,,2011-11-28,0.0,0.0,NA,Hertfordshire,1959-04-01,525469,TL2546923706,0.0,P-11-1371,Eastern Power Networks (EPN),Stevenage,E07000243,10.8,13.6,0.0,0.1,0.0,2026-11-26,223706,SG2 8UW,2,<100%,COLD,EPN-S0000000H8010,EAST STEVENAGE PRIMARY 33/11kV,Primary Substation,33,"51.8977841415782, -0.177890041577216",\N,\N,0.0,0.0,0.0,0.0,STEVENAGE EAST,"17, 17","23, 23",couch.exam.scan
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,27.84,,,,,,14.5,14.5,,,,,9.98,13.92,,,0.0,0.0,0.0,,29.0,38.0,29.0,38.0,,,,,,,,,,,,,,2019-06-13,0.0,0.0,0.67Ω 0.00Deg,Middlesex,1965-04-01,511120,TQ11128759,0.0,ELP02011023-R01,Eastern Power Networks (EPN),Hillingdon,E09000017,18.6,23.5,0.0,0.06,0.0,2035-11-26,187590,HA4 9UU,2,<100%,COLD,EPN-S0000000H8011,EASTCOTE PRIMARY 33/11kV,Primary Substation,33,"51.5762326139156, -0.397859094727808",\N,\N,0.0,0.0,0.0,0.0,EASTCOTE,"29, 29","38, 38",probe.chats.worked
,,Aylesbury East Grid 33kV,,The site is expected to be overloaded under an N-1 outage condition due to limited transformer capacity.,2025,Winter/Summer,Flexibility procurement,5563.0,Flexibility,We were not able to procure sufficient flexibility for the first year through our Autumn 2024 flexibility tender. The procured flexibility will reduce the need to a level that can be managed via network adjustment . We aim to procure procure more flexibility in the upcoming tender events.,\N,\N,Flexibility,Yes,5.005912495072919,0.38399999999999995,0.8373984,20.0,4.1,,,9.6,\N,\N,20%,\N,\N,10.0,-15.321398400000003,Sundon,,,Single site,0.67,-0.1,Waddesdon,,1.2213984,24.1,25.3213984,In order to increase capacity at the site the traditional solution is to replace 33/11 kV transformers.,10.0,13.0,10.0,13.0,,,,,,,,,,,,,Demand,2011-06-28,0.0,0.0,NA,Buckinghamshire,1936-04-01,473142,SP7314217606,25.37,P-10-696-172,Eastern Power Networks (EPN),Buckinghamshire,E06000060,9.3,13.1,26.72,0.11,0.0,2040-11-22,217606,HP18 0JR,2,100%,HOT,EPN-S0000000H8022,WADDESDON PRIMARY 33/11kV,Primary Substation,33,"51.8522642963663, -0.939489172005016",\N,\N,0.0,0.0,0.0,0.0,WADDESDON,"10, 10","13, 13",coasted.blown.dishing
,,Houghton Regis Grid 33kV,,The site is expected to be overloaded under an N-1 outage condition due to limited transformer capacity.,2030,Summer,Signposting,4344.0,Signposting,The latest load forecasts have postoponed the needs to years 3 to 5. We will award flexibility proactively and monitor the updated forecast.,\N,\N,Signposting,Yes,5.06329113924051,0.0,0.18537599999999999,0.0,3.0,,,7.68,\N,\N,\N,\N,\N,8.0,4.814624,Sundon,,,Single site,1.44,0.67,Cheddington,,0.18537599999999999,3.0,3.1853759999999998,In order to increase capacity at the site the traditional solution is to replace the 33/11 kV transformers.,8.0,9.0,8.0,9.0,,,,,,,,,,,,,Demand,2010-12-14,0.0,0.0,NA,Buckinghamshire,1960-04-01,493326,SP9332617607,3.16,P-10-696-161,Eastern Power Networks (EPN),Buckinghamshire,E06000060,6.5,8.3,26.72,0.15,0.0,2026-11-26,217607,LU7 9DY,2,100%,COLD,EPN-S0000000H8028,CHEDDINGTON PRIMARY 33/11kV,Primary Substation,33,"51.8492678297244, -0.64652517922432",\N,\N,0.0,0.0,0.0,0.0,CHEDDINGTON,"8, 8","9, 9",imprinted.lease.inherit
,,Piccotts End Grid 33kV,,,,,,,,,,,,No,0.0,0.6768,0.0,0.0,0.0,,,17.28,,,,,,18.0,17.3232,Elstree 1&2 and 8&9 and Watford South 3A&3B,,,,10.66,12.48,,,0.6768,0.0,0.6768,,18.0,22.0,,,,,,,,,,,,,,,,2019-04-30,0.0,0.0,1.01Ω 0.00Deg,Hertfordshire,1985-04-01,508740,TL08740723,0.0,ELP02011009-R01,Eastern Power Networks (EPN),Dacorum,E07000096,6.9,9,0.0,0.2,0.0,2035-11-26,207230,HP2 4TZ,1,100%,COLD,EPN-S0000000H8033,HEMEL EAST PRIMARY 33/11kV,Primary Substation,33,"51.7532171874164, -0.426085128891241",\N,\N,0.0,0.0,0.0,0.0,HEMEL HEMPSTEAD EAST,18,22,soda.vivid.blog
,,Finchley Grid 33kV,,,,,,,,,,,,No,0.0,0.1742304,0.0,0.0,0.0,,,27.84,,,,,,14.5,14.3257696,Mill Hill and Hendon,,,,12.77,15.36,,,0.1742304,0.0,0.1742304,,29.0,38.0,29.0,38.0,,,,,,,,,,,,,,2018-10-02,600.0,600.0,0.33Ω 0.00Deg,Greater London,1969-04-01,526020,TQ26029235,0.0,ELP0061026-R01,Eastern Power Networks (EPN),Barnet,E09000003,15.7,22,214.81,0.05,75.1,2034-11-26,192350,N12 8DP,2,<100%,COLD,EPN-S0000000H8040,NORTH FINCHLEY PRIMARY 33/11kV,Primary Substation,33,"51.6158790310613, -0.181243677192809",\N,\N,0.0,0.0,0.0,0.0,FINCHLEY N12,"29, 29","38, 38",hangs.gangs.hands
,,Letchworth Grid 33kV,,,,,,,,,,,,No,0.0,0.26496,0.21235199999999999,0.0,0.0,,,17.28,,,,,,18.0,17.522688,Pelham and Wymondley,,,,10.08,12.29,,,0.47731199999999996,0.0,0.47731199999999996,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2010-12-14,0.0,0.0,NA,Bedfordshire,1972-04-01,515133,TL1513338499,0.0,P-10-696-191,Eastern Power Networks (EPN),Central Bedfordshire,E06000056,7.5,11.2,0.0,0.07,0.0,2026-11-26,238499,SG17 5JD,2,100%,COLD,EPN-S0000000H8041,SHEFFORD PRIMARY 33/11kV,Primary Substation,33,"52.0329565020693, -0.32308243547096",\N,\N,0.0,0.0,0.0,0.0,SHEFFORD,"18, 18","24, 24",obligated.ample.horses
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,14.4,,,,,,15.0,15.0,,,,,4.42,6.34,,,0.0,0.0,0.0,,15.0,20.0,15.0,20.0,,,,,,,,,,,,,,2019-06-24,0.0,0.0,0.46Ω 0.00Deg,Middlesex,1964-04-01,514028,TQ1402886755,0.0,ELP02011031-R01,Eastern Power Networks (EPN),Harrow,E09000015,10.4,13.4,0.0,0.04,0.0,2035-11-26,186755,HA2 0QL,2,100%,COLD,EPN-S0000000H8042,SOUTH HARROW PRIMARY 33/11kV,Primary Substation,33,"51.568147810529, -0.356183795220755",\N,\N,0.0,0.0,0.0,0.0,SOUTH HARROW,"15, 15","20, 20",plug.rested.cheer
,,Aylesbury East Grid 33kV,,,,,,,,,,,,Yes,5.06329113924051,0.0,0.0,0.0,6.0,,,17.28,,,,,,18.0,12.0,Sundon,,,,11.62,17.66,,,0.0,6.0,6.0,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2021-08-16,0.0,0.0,0.13Ω 0.00Deg,Buckinghamshire,2010-04-01,487992,SP8799213685,6.32,ELP06293-R01,Eastern Power Networks (EPN),Buckinghamshire,E06000060,5.9,5.6,26.72,0.05,0.0,2040-11-22,213685,HP22 5WJ,2,100%,COLD,EPN-S0000000H8049,ARLA DAIRIES PRIMARY 33/11kV,Primary Substation,33,"51.8148792190328, -0.724937196192035",ARLA DAIRIES PRIMARY,ASTON CLINTON,0.0,0.0,0.0,0.0,AYLESBURY,"18, 18","24, 24",huddling.increased.dislodge
,,Luton North Grid 33kV,,,,,,,,,,,,No,0.0,0.0,0.8592000000000001,0.0,0.0,,,28.8,,,,,,30.0,29.1408,Sundon,,,,0.58,6.05,,,0.8592000000000001,0.0,0.8592000000000001,,30.0,40.0,30.0,40.0,,,,,,,,,,,,,,2011-01-18,0.0,0.0,NA,Bedfordshire,1966-04-01,508480,TL08482430,0.0,P-10-696-184,Eastern Power Networks (EPN),Luton,E06000032,29.4,33.7,26.72,0.05,0.0,2040-11-30,224300,LU3 2AD,2,100%,COLD,EPN-S0000000H8056,LUTON NORTH GRID 33/11kV,Primary Substation,33,"51.906685286184, -0.424505990051355",\N,\N,0.0,0.0,0.0,0.0,LUTON NORTH,"30, 30","40, 40",empire.score.shout
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,14.4,,,,,,15.0,15.0,,,,,4.61,6.34,,,0.0,0.0,0.0,,15.0,20.0,15.0,20.0,,,,,,,,,,,,,,2019-06-05,0.0,0.0,0.27Ω 0.00Deg,Hertfordshire,1960-04-01,514029,TQ1402994230,0.0,NA,Eastern Power Networks (EPN),Hertsmere,E07000098,10.2,13.4,0.0,0.05,0.0,2035-11-26,194230,WD23 1DH,2,100%,COLD,EPN-S0000000H8058,MERRYHILL PRIMARY 33/11kV,Primary Substation,33,"51.6353299057825, -0.353741606306684",\N,\N,0.0,0.0,0.0,0.0,BUSHEY,"15, 15","20, 20",normal.slick.being
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,17.28,,,,,,18.0,18.0,,,,,12.29,16.7,,,0.0,0.0,0.0,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2020-05-04,0.0,0.0,1.82Ω 0.00Deg,Hertfordshire,1955-04-01,503986,TL0398607441,0.0,ELP03878-R01,Eastern Power Networks (EPN),Dacorum,E07000096,5.2,6.6,0.0,0.09,0.0,2035-11-26,207441,HP1 2LD,2,100%,COLD,EPN-S0000000H8065,WARNERS END PRIMARY 33/11kV,Primary Substation,33,"51.7560153494113, -0.494867068812841",\N,\N,0.0,0.0,0.0,0.0,HEMEL HEMPSTEAD WEST,"18, 18","24, 24",custom.wisely.bill
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,16.32,,,,,,8.5,8.5,,,,,8.45,14.11,,,0.0,0.0,0.0,,17.0,23.0,17.0,23.0,,,,,,,,,,,,,,2010-12-14,0.0,0.0,NA,Bedfordshire,1967-04-01,507925,TL0792530913,0.0,P-10-696-160,Eastern Power Networks (EPN),Central Bedfordshire,E06000056,8.2,8.3,0.0,0.09,0.0,2026-11-26,230913,MK45 4SQ,2,<100%,COLD,EPN-S0000000H8069,BARTON PRIMARY,Primary Substation,33,"51.9662267741936, -0.430497829998899",\N,\N,0.0,0.0,0.0,0.0,BARTON LE CLAY,"17, 17","23, 23",discussed.tone.husky
,,Aylesbury East Grid 33kV,,,,,,,,,,,,No,4.988123515439429,0.3696,1.152,0.0,4.0,,,14.4,,,,,,15.0,9.4784,Sundon,,,,4.42,5.95,,,1.5215999999999998,4.0,5.521599999999999,,15.0,20.0,15.0,20.0,,,,,,,,,,,,,,2010-12-14,0.0,0.0,0.11Ω 0.00Deg,Buckinghamshire,1963-04-01,481525,SP8152515614,4.21,P-10-696-168,Eastern Power Networks (EPN),Buckinghamshire,E06000060,10.4,13.8,26.72,\N,0.0,2040-11-22,215614,HP19 9RB,2,100%,COLD,EPN-S0000000H8071,BUCKINGHAM RD PRIMARY 33/11kV,Primary Substation,33,"51.8331984751452, -0.818275557970287",3 BUCKINGHAM RD,\N,0.0,0.0,0.0,0.0,AYLESBURY NORTH,"15, 15","20, 20",faces.stops.translated
,,Welwyn Grid 33kV,,,,,,,,,,,,No,4.940711462450593,0.22848000000000002,0.0,7.215,0.0,,,16.32,,,,,,8.5,1.05652,Rye House,,,,9.02,11.71,,,0.22848000000000002,7.215,7.44348,,17.0,23.0,17.0,23.0,,,,,,,,,,,,,,2013-12-02,240.0,480.0,NA,Hertfordshire,1970-04-01,523604,TL2360411486,7.59,P-13-3264-01,Eastern Power Networks (EPN),Welwyn Hatfield,E07000241,7.6,10.8,274.6,0.06,97.29,2040-11-22,211486,AL7 4TW,2,<100%,COLD,EPN-S0000000H8082,WELWYN PRIMARY 33/11kV,Primary Substation,33,"51.7883851130489, -0.209343731481634",\N,\N,-60.5,274.6,215.4,274.0,WELWYN GARDEN CITY SOUTH,"17, 17","23, 23",client.deed.habit
